,Proportion_Western,Mean_Western,Std_Western,Proportion_Nonwestern,Mean_Nonwestern,Std_Nonwestern,FC(Western_vs_Nonwestern),M.W.W. qvalue,Significant
Allisonella histaminiformans,0.23124177270732776,3.412822223668284e-08,1.5358217713559715e-07,0.3913764510779436,4.3818455892117346e-08,1.1974787912203355e-07,0.7788549719941703,6.038534782021556e-13,True
Alloprevotella tannerae,0.004387889425186486,4.593337179143393e-10,1.307197128756678e-08,0.004975124378109453,2.763766022379143e-10,6.003949703561923e-09,1.6619848214174417,0.83961090991396,False
Anaerococcus obesiensis == vaginalis,0.04168494953927161,1.0539052774766791e-09,1.498918691463816e-08,0.013266998341625208,3.3261368973978945e-10,3.676061061176934e-09,3.1685565266455837,0.0007504924055927473,True
Anaerofilum sp. An201,0.060991663010092144,1.4992195245183267e-08,2.623984043126951e-07,0.008291873963515755,1.869253023151469e-10,2.4999610710303003e-09,80.2042048855813,9.528249636204788e-08,True
Anaerofustis stercorihominis,0.0434401053093462,7.692462292638721e-10,5.702384695723616e-09,0.006633499170812604,1.102752381399823e-10,1.9232007942387213e-09,6.975693204011933,1.1689495307704756e-05,True
Anaeroglobus geminatus,0.013163668275559455,1.4327825900690816e-09,5.089074165284626e-08,0.009950248756218905,7.188553574494432e-11,8.873464565349967e-10,19.931444834086093,0.4039404378798537,False
Anaeromassilibacillus sp. An172,0.0017551557700745941,4.727417486763055e-10,1.5610596289808776e-08,0.001658374792703151,0.0,0.0,inf,0.40827645996573686,False
Anaeromassilibacillus sp. An250,0.4493198771390961,4.364700082064383e-08,1.5718011781077497e-07,0.04145936981757877,2.7590096545921542e-09,2.1098523142979422e-08,15.819807207994664,1.5664506276160158e-71,True
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,0.1338306274681878,1.5071844384899597e-08,1.1457480229563673e-07,0.001658374792703151,0.0,0.0,inf,8.324179439944451e-21,True
Anaerostipes caccae,0.14129003949100483,1.3443878357953985e-08,1.1397392905377425e-07,0.009950248756218905,3.230449518482169e-10,3.928266252853845e-09,41.61612271307248,2.381536249672319e-19,True
Anaerostipes hadrus 1,0.9341816586222027,1.788251612369335e-06,5.335989347891169e-06,0.7014925373134329,1.101277003309853e-07,2.401148569215709e-07,16.23798196997487,1.4528447259709036e-124,True
Anaerostipes hadrus 2,0.3225098727512067,2.1752414006047758e-07,9.710395383418847e-07,0.12437810945273632,1.1591633659529602e-08,7.120096159657979e-08,18.76561548178748,1.9857771364861813e-24,True
Anaerotignum lactatifermentans,0.06932865291794647,3.024399327079016e-08,2.520992126995648e-07,0.004975124378109453,4.5411732206181595e-10,8.123139807081542e-09,66.5995147101507,7.323109385345975e-10,True
Anaerotruncus colihominis,0.5076788064940764,2.7642494994746916e-08,9.586956123768104e-08,0.1011608623548922,5.147936613241103e-09,3.882033556907838e-08,5.369626137906815,5.6589678668816496e-65,True
Anaerotruncus sp. CAG:390,0.03203159280386134,3.8738201596073245e-08,3.5153284299249154e-07,0.13432835820895522,6.761296203932274e-08,4.2403669615362034e-07,0.5729404603446253,7.447973193466852e-22,True
Anaerotruncus sp. CAG:528,0.03949100482667837,1.7518869252801518e-07,1.561108357513816e-06,0.04477611940298507,6.357500895713273e-08,7.091701107704292e-07,2.755621987346336,0.6958078386168469,False
Atopobium parvulum,0.01491882404563405,5.153994052479822e-10,7.018164363370404e-09,0.009950248756218905,3.7260557267371743e-10,5.660024945818333e-09,1.383230533965487,0.27352391054632386,False
Atopobium parvulum 2,0.06494076349275998,4.788575087183947e-09,5.457908194030095e-08,0.05306799336650083,4.121666396128654e-09,3.331445338755263e-08,1.161805596804656,0.30393074455102975,False
Azospirillum sp. 51_20,0.15620886353663888,2.1598408671264964e-07,1.3993177811577077e-06,0.008291873963515755,2.7426296429834967e-09,4.745814972894492e-08,78.75073007586147,2.2869185759325924e-22,True
Azospirillum sp. CAG:239,0.13075910487055725,2.649623239368898e-07,2.0823392261775535e-06,0.006633499170812604,5.698106901768121e-10,9.855640778029549e-09,465.00061951219635,8.366264333803713e-19,True
Bacillus sp. CAG:988,0.010969723562966213,1.609901099526457e-08,4.474609007505731e-07,0.001658374792703151,0.0,0.0,inf,0.015884925602220285,True
Bacteroidales bacterium 52_46,0.01228609039052216,2.1287375173136254e-09,4.2427314748138655e-08,0.004975124378109453,3.4996457689267745e-10,7.59892944855383e-09,6.082722817876618,0.0782335001351151,False
Bacteroidales bacterium 55_9,0.04475647213690215,3.1787102599185354e-08,2.7758382883404305e-07,0.01658374792703151,3.0160844649766166e-09,4.7462061231161176e-08,10.539195094933058,0.0011074869934655461,True
Bacteroidales bacterium H1 & K10,0.0035103115401491883,5.447481644429792e-08,1.4572684975650764e-06,0.001658374792703151,0.0,0.0,inf,0.20301281197907478,False
Bacteroidales bacterium H10,0.015357612988152698,1.5573353112308426e-08,3.1402699346342746e-07,0.003316749585406302,1.048344751493698e-11,2.574321485255064e-10,1485.5182982620238,0.011521438850662258,True
Bacteroidales bacterium H2 / Prevotella sp. CAG:251,0.0298376480912681,6.133368584300685e-08,8.337274464800545e-07,0.013266998341625208,5.161472864113329e-10,7.69327149880139e-09,118.82981361666646,0.01855858489723204,True
Bacteroidales bacterium H3,0.03773584905660377,1.0711062471990788e-07,1.8462290438765908e-06,0.029850746268656716,1.78382015909416e-09,1.736401676734042e-08,60.045640909395054,0.2876549823567929,False
Bacteroidales bacterium H4 & Prevotella sp. CAG:873,0.013163668275559455,4.896191240971597e-08,7.795985523825374e-07,0.25538971807628524,4.5197239375900625e-07,2.148911789000515e-06,0.10832943136748897,1.8558831750031294e-102,True
Bacteroidales bacterium H5,0.0026327336551118913,6.568855030558958e-09,1.760067449167181e-07,0.001658374792703151,0.0,0.0,inf,0.2839506458959554,False
Bacteroidales bacterium H8 & H9 & Prevotella sp. CAG:279,0.14523913997367266,5.146737703822274e-07,2.7682583135738344e-06,0.7661691542288557,1.7150935948117046e-06,3.7828953696534248e-06,0.30008494693185067,7.57822408090543e-193,True
Bacteroidales bacterium M1,0.00307152259763054,9.042258043598523e-10,2.6365151041473446e-08,0.001658374792703151,0.0,0.0,inf,0.2408416187927508,False
Bacteroidales bacterium M7,0.0013163668275559457,3.0978623803845204e-08,1.4659290348278065e-06,0.001658374792703151,0.0,0.0,inf,0.5002817016223238,False
Bacteroides acidifaciens,0.008336989907854322,2.9507935707973896e-09,6.227405596376063e-08,0.004975124378109453,1.970655832807587e-10,4.04393858504044e-09,14.973662684637343,0.26254746299702014,False
Bacteroides barnesiae,0.005704256252742431,7.683268933251324e-09,1.9749780907402854e-07,0.003316749585406302,3.09680215238796e-11,7.604525424596807e-10,248.10331933303246,0.27352391054632386,False
Bacteroides caccae,0.72400175515577,1.8113059075132972e-06,4.232416320410819e-06,0.5240464344941956,4.028638908357584e-07,1.3764658635499277e-06,4.496074105216195,1.3517583002774457e-45,True
Bacteroides cellulosilyticus,0.6243966652040368,1.1028584155587424e-06,3.0848646884103706e-06,0.21227197346600332,7.580004412869781e-08,1.0977060800558192e-06,14.549574848350273,5.306168699302867e-82,True
Bacteroides clarus,0.23211935059236508,2.1519495921219078e-07,1.176225130229236e-06,0.04809286898839138,9.898031199990183e-09,8.426078737914844e-08,21.741188208459498,1.6069779079554358e-24,True
Bacteroides congonensis,0.06143045195261079,2.9505296833190795e-08,3.0621645887038365e-07,0.028192371475953566,1.1164168325644654e-08,2.5857766263836153e-07,2.6428566797417097,0.0011115369053736536,True
Bacteroides coprocola,0.27512066695919263,1.8396727899349435e-06,7.190797448162658e-06,0.08623548922056384,1.1065543662120122e-07,9.94812999854036e-07,16.625236374355133,8.279135634168762e-23,True
Bacteroides coprophilus,0.10530934620447564,3.616834076230337e-07,2.1509054662348553e-06,0.07296849087893864,4.761825788351976e-08,3.2030204501623305e-07,7.5954775268712424,0.014568306288713372,True
Bacteroides dorei,0.6160596752961826,3.5552992067083596e-06,8.421637143481263e-06,0.20563847429519072,4.66375053163374e-07,3.3724908042274165e-06,7.623261970367263,1.794048358117549e-74,True
Bacteroides eggerthii,0.3317244405440983,1.0982669792855607e-06,4.5346879056305614e-06,0.1691542288557214,6.947887910388578e-08,5.436406554952803e-07,15.807206354659476,3.780204023389539e-17,True
Bacteroides faecichinchillae,0.07547169811320754,5.859469257487543e-09,3.2034584773769456e-08,0.15422885572139303,1.163421867621111e-08,3.782134853522138e-08,0.503640976722279,7.444814248950406e-09,True
Bacteroides faecis,0.1755155770074594,3.5320919873052544e-07,1.816553559292129e-06,0.014925373134328358,5.163755849933421e-09,6.695031401623246e-08,68.40160708509865,9.145192664077564e-24,True
Bacteroides finegoldii,0.36112329969284773,6.413005478246256e-07,3.0067213948024653e-06,0.19071310116086235,4.995018247320271e-08,2.5252794731423786e-07,12.83880290464746,6.743236667812967e-20,True
Bacteroides fluxus,0.009214567792891619,1.4432124976355959e-08,3.1122554583051956e-07,0.013266998341625208,6.8308961207924255e-09,1.471167453889621e-07,2.112771841519637,0.5572463863580794,False
Bacteroides fragilis 1,0.571741992101799,1.318157945866643e-06,5.785487699161521e-06,0.3714759535655058,4.049281022386988e-07,2.3083509105699196e-06,3.25528887370136,2.114133338878079e-24,True
Bacteroides fragilis 2,0.12724879333040806,2.347798553514977e-07,1.7346414933918808e-06,0.24378109452736318,2.8570616618497113e-07,1.5951066767118726e-06,0.8217528465923873,9.317000670433685e-12,True
Bacteroides gallinarum,0.003949100482667837,1.3365975445832035e-08,2.5403276624302014e-07,0.001658374792703151,0.0,0.0,inf,0.17194134349830095,False
Bacteroides intestinalis,0.39842035980693286,5.41605674663417e-07,2.156508286618437e-06,0.19734660033167495,4.399284791973767e-08,2.806057387906018e-07,12.311221034190472,5.92749167561664e-25,True
Bacteroides massiliensis,0.46248354541465553,2.2008135619394177e-06,5.824247626192409e-06,0.16749585406301823,1.1600283312193751e-07,7.228892613522775e-07,18.972067342751973,1.0793984252471788e-44,True
Bacteroides nordii,0.42606406318560774,8.536823303393774e-08,3.3666601027709856e-07,0.19071310116086235,2.1048638581593497e-08,1.2297477258533203e-07,4.0557603145217245,1.2799278545453005e-27,True
Bacteroides oleiciplenus,0.007459412022817025,6.466073607084523e-10,1.1078851870842006e-08,0.006633499170812604,2.265100348439562e-10,3.843609393211725e-09,2.8546521621168046,0.6111485419746039,False
Bacteroides ovatus,0.9205792014041246,3.4119266888510493e-06,7.974699176023681e-06,0.6434494195688225,6.551119571884138e-07,3.844807632707848e-06,5.208158165047444,7.889960709847529e-109,True
Bacteroides pectinophilus,0.05089951733216323,8.389380658974836e-08,7.953031207800231e-07,0.0779436152570481,7.334090863069898e-08,6.068575616856378e-07,1.1438882903972118,0.02191265505482794,True
Bacteroides plebeius,0.37735849056603776,4.0347528120223916e-06,1.2604524541800396e-05,0.16086235489220563,5.579317204750551e-07,4.043800861895501e-06,7.2316247023685465,1.2623886020084123e-24,True
Bacteroides salanitronis,0.002193944712593243,7.424137924692428e-09,2.5230907100965896e-07,0.001658374792703151,0.0,0.0,inf,0.33919518219367384,False
Bacteroides salyersiae,0.27424308907415534,2.1449616926059188e-07,8.168262323821915e-07,0.05804311774461028,1.0187953597731173e-08,9.741605786290491e-08,21.053901276931565,5.258689505962333e-30,True
Bacteroides sartorii,0.010530934620447565,1.9423094183729458e-08,5.731016841730543e-07,0.003316749585406302,4.1107580870836646e-11,1.0094401530782207e-09,472.4942157204141,0.05535506999630441,False
Bacteroides sp. 43_108,0.010969723562966213,6.7617188836501814e-09,1.49790881807096e-07,0.004975124378109453,8.531662611687447e-11,1.5510364434409474e-09,79.25441020590013,0.11608707210376291,False
Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702,0.004826678367705134,4.1419918238764185e-08,1.1431606349054315e-06,0.001658374792703151,0.0,0.0,inf,0.12528562313379357,False
Bacteroides sp. An322,0.0008775778850372971,4.256212641533629e-12,2.031867949642338e-10,0.001658374792703151,0.0,0.0,inf,0.6349646740267764,False
Bacteroides sp. CAG:1060,0.00307152259763054,6.583064826242706e-09,1.9978636813318846e-07,0.0812603648424544,1.0662916223432411e-07,7.146649633230025e-07,0.061737940055985985,1.2644341768082003e-34,True
Bacteroides sp. CAG:1076,0.013602457218078104,1.829682237050233e-08,4.584022661995756e-07,0.03150912106135987,1.486977517414245e-08,2.5784586714400893e-07,1.2304706800355185,0.006571145497262854,True
Bacteroides sp. CAG:144,0.11057481351469943,7.124076040695298e-08,3.9735873161744425e-07,0.006633499170812604,2.631448117785314e-09,6.192664068625454e-08,27.07283488716882,1.3427359716004676e-15,True
Bacteroides sp. CAG:443,0.02632733655111891,1.167645127927503e-07,1.579047241504478e-06,0.001658374792703151,0.0,0.0,inf,0.00010871473674447114,True
Bacteroides sp. CAG:462,0.012724879333040808,2.1414649510976554e-08,2.8351556387470095e-07,0.004975124378109453,2.554049871711806e-08,6.249829364249929e-07,0.8384585496219684,0.06826238550582471,False
Bacteroides sp. CAG:530,0.02369460289600702,2.35243817769784e-08,3.273737807624514e-07,0.46766169154228854,2.555339494892517e-07,7.267908864456144e-07,0.09205971192476672,1.7252128205626498e-196,True
Bacteroides sp. CAG:545,0.02632733655111891,1.4495184485502452e-07,1.7740799390835992e-06,0.2537313432835821,5.795377479738245e-07,3.162463228639574e-06,0.2501163131509622,8.454299678035726e-79,True
Bacteroides sp. CAG:709,0.030276437033786747,1.365502970998862e-07,1.7885549856269484e-06,0.38308457711442784,3.6446600151632495e-07,1.1903690201291633e-06,0.3746585320215936,5.350397925691182e-137,True
Bacteroides sp. CAG:770,0.013602457218078104,3.4236304736080585e-08,5.039605522433887e-07,0.42786069651741293,6.567092082787412e-07,1.8594984892588688e-06,0.052133127272290254,2.166711137241803e-196,True
Bacteroides sp. CAG:875 & sp. 2789STDY5834845,0.015796401930671347,6.850646482317454e-08,1.0368849967022026e-06,0.001658374792703151,0.0,0.0,inf,0.003279964917768081,True
Bacteroides sp. CAG:927,0.005704256252742431,2.967430211439243e-08,6.760780212604872e-07,0.02155887230514096,2.0728186103718432e-08,2.201516816840643e-07,1.4315918414621507,0.0006943707133472983,True
Bacteroides sp. Marseille-P3108 & CAG:633,0.01184730144800351,6.402771773936974e-08,1.55473543972458e-06,0.001658374792703151,0.0,0.0,inf,0.01196860764742009,True
Bacteroides sp. Marseille-P3166 & CAG:598,0.017551557700745943,9.236951894536065e-08,1.2692827994226799e-06,0.001658374792703151,0.0,0.0,inf,0.0018556395254905823,True
Bacteroides sp. Marseille-P3208T,0.00307152259763054,9.645833922930357e-09,3.2522009510505884e-07,0.001658374792703151,0.0,0.0,inf,0.2408416187927508,False
Bacteroides stercorirosoris,0.02457218078104432,1.3685146009739276e-08,2.412962587423848e-07,0.006633499170812604,1.2499310713248075e-10,2.0651960253879157e-09,109.48720552433606,0.004136499125842034,True
Bacteroides stercoris,0.6494076349275998,4.856328526725444e-06,1.1128256729177275e-05,0.3963515754560531,4.6166518268405446e-07,2.5557416113791046e-06,10.51915697538951,1.3017695525388666e-49,True
Bacteroides thetaiotaomicron,0.8758227292672225,1.8930022601698376e-06,4.203270839615398e-06,0.5688225538971807,3.8487999446473524e-07,3.2920178973292692e-06,4.918422072839862,7.05909027178193e-112,True
Bacteroides uniformis,0.9644580956559895,9.484198280176599e-06,1.099389338669811e-05,0.6567164179104478,1.1586649940883304e-06,4.482724313589444e-06,8.185453369667933,1.627276405416415e-188,True
Bacteroides vulgatus,0.9828872312417727,1.7711938538622074e-05,1.929179707960903e-05,0.7777777777777778,2.352777713931459e-06,6.7476674572578925e-06,7.528096867691623,7.59665277040502e-182,True
Bacteroides xylanisolvens,0.7661254936375603,1.3896432608317773e-06,3.566262984333226e-06,0.4693200663349917,2.6138873825350475e-07,1.6218576532931078e-06,5.316385358132944,8.846649755805794e-69,True
Barnesiella intestinihominis,0.5809565598946906,1.1370658593591886e-06,2.4411588320791457e-06,0.43283582089552236,1.7697492953802134e-07,6.155634372522213e-07,6.425010945490452,4.927071738300968e-29,True
Barnesiella sp. An22,0.007898200965335674,1.666307596416767e-08,2.7876758817058813e-07,0.001658374792703151,0.0,0.0,inf,0.04386135135086902,True
Bifidobacterium adolescentis,0.5252303641948223,1.4635269562379879e-06,5.193279479234365e-06,0.6849087893864013,3.3724061542402264e-06,9.172535114699404e-06,0.4339711438368276,3.950178321356473e-16,True
Bifidobacterium angulatum,0.02720491443615621,2.3904367812454834e-08,4.6970525651433957e-07,0.21227197346600332,2.443329568469116e-07,1.5226777661153183e-06,0.09783521683254653,2.0891138368121594e-58,True
Bifidobacterium animalis,0.10794207985958754,6.563782313450887e-08,5.10976986164622e-07,0.013266998341625208,7.606266007392021e-10,1.2386292302061901e-08,86.29440920251784,2.3057700031179085e-13,True
Bifidobacterium bifidum,0.23080298376480912,4.0050903266776474e-07,2.3094659753269056e-06,0.25538971807628524,3.8341428033826116e-07,4.766610119640108e-06,1.0445855911115831,0.5221710300999393,False
Bifidobacterium breve,0.05397103992979377,1.123678526018291e-07,1.918122013939361e-06,0.0779436152570481,2.073352417746669e-07,4.448041219665196e-06,0.5419621461360201,0.04030570759545596,True
Bifidobacterium catenulatum,0.10794207985958754,2.002352593363876e-07,2.1036294020679958e-06,0.2802653399668325,5.229265010497918e-07,3.51744330583061e-06,0.3829128164941132,2.738046730768283e-25,True
Bifidobacterium dentium,0.19657744624835455,3.8346316429027614e-08,5.512371833097596e-07,0.23217247097844113,3.3720546142024564e-08,2.8335246765634165e-07,1.1371795779202443,0.0828055179523565,False
Bifidobacterium gallinarum == saeculare ,0.008775778850372971,6.6845207855850504e-09,2.0315922498527007e-07,0.003316749585406302,3.676680879239967e-11,9.028479007853191e-10,181.80856607187664,0.0973081076572736,False
Bifidobacterium longum,0.7481351469942957,1.333043277691944e-06,5.022027382334091e-06,0.5456053067993366,1.0894156437900454e-06,5.2011781576919875e-06,1.2236314810519198,7.946213380615527e-18,True
Bifidobacterium pseudocatenulatum,0.41509433962264153,6.277392623599345e-07,3.1136920854595847e-06,0.37976782752902155,3.908996349696324e-07,2.434301307777119e-06,1.6058834703406701,0.0018476108111963926,True
Bifidobacterium scardovii,0.0026327336551118913,3.6414594601828095e-10,1.2001048525616283e-08,0.001658374792703151,0.0,0.0,inf,0.2839506458959554,False
Bifidobacterium thermacidophilum,0.00043878894251864854,0.0,0.0,0.009950248756218905,1.3565837763349531e-08,1.7843517486910826e-07,0.0,2.3304245256753697e-05,True
Bilophila wadsworthia,0.8279947345326898,3.527714852468591e-07,6.593989752167081e-07,0.7512437810945274,2.0704970696264014e-07,5.272965250668343e-07,1.7038009395034444,9.8319437480354e-24,True
Blastocystis sp. subtype 1,0.020623080298376482,1.5688294403226827e-08,1.763987816414151e-07,0.1558872305140962,4.407140934590422e-08,1.815129473499229e-07,0.35597442051588984,3.569130399475084e-41,True
Blastocystis sp. subtype 2,0.017990346643264588,9.93328657743146e-09,1.1486308291230893e-07,0.08291873963515754,1.823602656568782e-08,9.788624649793331e-08,0.5447067397961316,3.896726887743691e-15,True
Blastocystis sp. subtype 3,0.036858271171566474,2.5231447152767973e-08,3.1570097606403823e-07,0.24875621890547264,3.086438577587742e-08,8.964983417581227e-08,0.8174939017412113,9.951218509201784e-62,True
Blastocystis sp. subtype 4,0.050021939447125935,8.730599591458443e-08,6.372196431946236e-07,0.001658374792703151,0.0,0.0,inf,4.673580314281395e-08,True
Blastocystis sp. subtype 9,0.005704256252742431,1.0664772916698253e-09,1.8356368271018204e-08,0.001658374792703151,0.0,0.0,inf,0.09229110567688563,False
Blautia hansenii,0.104870557261957,5.437014316246106e-08,4.69512958531772e-07,0.004975124378109453,4.304407481133457e-11,7.871534910304635e-10,1263.1272341377878,2.818129053475455e-15,True
Blautia hydrogenotrophica,0.19043440105309345,1.200902974904393e-08,6.985923524146887e-08,0.001658374792703151,0.0,0.0,inf,2.392557921752407e-30,True
Blautia massiliensis,0.8310662571303203,7.109223280355946e-07,2.0486569105334835e-06,0.7827529021558872,1.6091410379284985e-07,3.127138919635021e-07,4.4180237237053435,6.795969175841082e-23,True
Blautia obeum,0.863975427819219,5.63613681355623e-07,1.4374959213113093e-06,0.8640132669983416,2.1686910220671316e-07,4.409922079740213e-07,2.59886574722112,1.4517979208113053e-13,True
Blautia producta,0.06888986397542782,7.440551396678681e-09,1.9392542440301983e-07,0.003316749585406302,1.0937239993612321e-10,2.685755030950465e-09,68.02951568242251,2.859148308019624e-10,True
