,CRC,adenoma,NAFLD,CD,IGT,T2D,ACVD,LC,RA,T1D,VKH,SPA,ME_CFS,melanoma,NSCLC,RCC
Actinomyces oris,-0.0002603079393913126,-0.00016459031294718075,-0.000329677548925171,-2.798892812247459e-05,0.0001539078186005714,-0.0007170420625839945,-0.00013605644866824824,-0.00017638462594526277,-0.0003943478699979634,-3.391418932262264e-05,0.0,-8.64620542998366e-05,0.0,0.003687372721996922,-0.00029721362498948015,-0.0009385095280124928
Adlercreutzia equolifaciens,0.00057984687523549,0.0008476345454523301,-0.0010049449164500162,-0.0013307671296637785,0.006920134541121635,0.0010883159514600326,0.0003086685916569247,-0.0017957168064998503,0.00222136097966599,0.001721536753168631,-0.001235321473960857,-0.0010482264162847597,0.0006697726305199385,0.009420762495060736,-0.0003659420051581194,0.0025247121908114336
Aeromonas caviae,-1.4373567816568036e-05,0.0,0.0,0.0,0.0,-1.613227369479913e-05,-6.409147716399879e-05,-0.0001420858390354465,-1.9028172695113074e-05,0.0,0.0,0.0,0.0,0.0,2.7873121271176643e-05,0.0
Aeromonas veronii,2.4050674190391152e-05,2.4194883349944254e-05,-1.141577549356844e-05,0.0,0.0,-5.3876999949648864e-05,-4.252422262925487e-05,2.529536960884944e-05,-2.3386090863514744e-05,0.0,0.0001817175362728058,0.0,0.0,0.0,0.0,0.0
Agathobaculum desmolans,-9.45047361667038e-06,-0.0001625005839345427,7.834543504810274e-05,0.0,0.0,-1.9106238458568148e-05,-1.1818497758065652e-05,-1.4785500455528157e-05,-3.114105217624365e-05,0.0,0.0,-4.6156834315091186e-05,0.0,0.0,-7.674900060848972e-05,-7.658845163411721e-05
Aggregatibacter segnis,-6.52754814240397e-05,-5.867421694705365e-05,-7.612388924785885e-05,0.0001796255537490951,-7.575021264987472e-05,7.093909829472225e-05,5.85648440530229e-05,0.0015482391584456365,-0.00032306341785658875,-4.504540094644132e-05,-3.554870282076232e-05,-6.062621504182606e-05,0.0,0.0,2.456347601523706e-05,5.39913458905654e-05
Akkermansia muciniphila,0.0009651024027699764,-0.0002829493311503301,0.0005471804750231265,-0.0006447530847148088,0.00029769780836842426,0.0005829801397552642,-0.00033225831604588894,-0.0003437869987648659,0.00043283074864432415,0.0006169853531024967,-0.0007249486627033863,-0.0035135707464667466,0.002735446514301321,-0.00035961040697110813,0.002272790653486534,0.0013833409980859004
Akkermansia sp. CAG:344,0.00017887456391288515,0.0002816613354048137,0.00010766805267409809,0.0016516170111680317,-0.00015432421859461857,-0.00018854049380782369,0.00010881378152639124,0.00011404139940194876,0.00029033698621555327,-2.9983196807393422e-05,0.00037044562249596873,7.077140528817595e-05,0.006097357822976831,0.0003158301889074549,0.00035299543297937874,7.465625407543281e-05
Akkermansia sp. KLE1605,-7.74821077939112e-05,-0.0001958051838290918,0.0002322988624452493,-6.260521988740329e-05,-6.0367080128667624e-05,-4.442262760593628e-05,-1.4715932707805595e-05,-1.4089851434810956e-05,-8.164088299596053e-05,-0.00012973296919480912,0.0,-4.5572950976159964e-05,0.0003962758496957294,0.00025466507135121476,-0.00014549232777014644,-0.0002564925558246533
Alistipes finegoldii,-0.0014646660177018746,-0.0009265428347586254,-0.0006380972689096769,0.0004113626613273465,0.0004546093051569937,-0.001160419211728186,-0.00039121033053558297,-0.00089541413527101,-0.0005708059923913939,0.0008978949637850326,-0.0003136246150905902,-0.0023690963503687403,0.0010032019323194953,7.417576508749957e-05,0.0021148131987719474,0.002947962198938534
Alistipes ihumii,0.0008896238232333218,-0.001109084693452108,-0.0015177710355867146,-0.00021434995192096059,-0.0006194700042606377,-0.0005168748954955108,-0.0019200624302298662,-0.0011233904697280834,0.00037186793787653957,-0.0008156663880996598,-0.0002764677704881593,-0.0005111605094885242,-0.00025177367193075236,-0.00046691298332062793,0.0004354379243556718,0.001820367736150709
Alistipes indistinctus,-0.00033168365621352383,-0.0005928257899633388,-0.0007946692067205237,0.00022425220885143347,0.00020208009099827314,0.0004552809770497994,-0.00030141735652385656,-0.0023171522081424684,-0.0005820412528635613,0.0003532073785705141,0.0003213004496457738,-0.000499090440878699,0.00045813788261282745,0.0007522747127100166,0.0007847923801457363,0.0022080899089690696
Alistipes inops == Tidjanibacter massiliensis,0.0002445153568660079,0.00016257377364659758,0.00041891865590604335,-0.0001431262390853862,0.000320622993376363,-0.0006671232508712714,-0.0003096212142345305,-0.00024485642502375946,-0.0006340445757458632,0.000735059347986783,9.693928954099201e-05,0.00011668014089485202,-0.00045169670844703044,-0.00022701693994113095,0.001163962001939226,0.004014424639984327
Alistipes obesi,-0.0008930628932964417,0.0005346251749192887,-0.002166541719163743,-0.007010608408371631,-0.0010812105584183122,-0.0022955107749443085,-0.0009510899526319233,-0.0010382245535821922,-0.0007762621573932471,-0.0010858144012516166,0.0009059277751060755,-0.0009723655160137523,-0.00035128000729405445,-0.0029180803602945294,0.002447427173780598,0.0034447499168561097
Alistipes onderdonkii,0.0008636297602289942,-0.0012667238776530548,-0.001046843467394771,-0.00033248978817090126,0.0005652006682638853,-0.0008602893324298051,-0.00048292554678052395,-0.0005961058991526643,0.0007643878892229319,0.0029054703156821972,0.0006037131530816286,-0.0007481637659533254,0.00196355326244333,0.0008161265893013557,-0.0009404293939070954,-0.0008205693048274933
Alistipes putredinis,0.0011415407936089625,-0.002166388711439031,-0.0007481945575140438,-0.00036710173079942146,-0.0006237267247245992,0.0009758163675948599,0.0006570044594604012,0.000574059202110417,0.0014846354021382524,0.0009926129270494556,0.005808086976197144,0.001181562951955941,0.0033753432805671956,0.0005195272104901159,-0.0005821887552822213,0.0008347309262044764
Alistipes senegalensis,0.00028206900830229264,-0.0005783693221272031,-0.0011812248161048307,-0.0011485408077320431,-0.0001313431698638817,-0.00045649305279711865,-0.0020744404750718875,-0.0007115913201487845,0.0002594569142885939,-0.001543311678729547,0.00029136514520071964,-0.0008531198545889084,-0.0015618702121837722,-0.0007429282121347458,-0.0004927918109679622,0.0005401816080398629
Alistipes shahii,-0.0005379083213359749,0.0015216479272595936,-0.0008887746285450435,-0.00034150484606281477,0.00038401126666045334,0.00045848294363338646,-0.0005094385478331333,-0.00035723780893975947,0.00317136626829501,0.001086629849069404,0.005788232066002219,0.0008703942652753205,0.000800528757106915,-0.0004806254714888358,0.000987910540857532,0.004582955590133257
Alistipes sp. An31A,-5.331850739613368e-05,0.0,-3.8860423131943475e-05,0.0,-3.873372032383103e-05,-2.644056610517e-05,-2.2393743808081944e-05,-9.943708112996006e-06,-4.316168178542533e-05,-0.0001633273027069157,-1.3651432237559569e-05,0.0,6.124498774509803e-05,-4.493414790510528e-05,0.00022540719531701745,0.0001121782265561423
Alistipes sp. An54 & An116,1.7698040812665563e-05,0.0,-1.1134936586191647e-05,0.0,0.0,0.0,0.0,0.0,-1.5320318694266424e-05,0.0,0.0,0.0,-5.182216002970394e-05,-6.240810799883666e-05,-2.526812342622486e-05,2.475566421176239e-05
Alistipes sp. CAG:268,0.0002058689974048007,5.730193436624972e-05,0.00011197945009506061,-4.9172126124250336e-05,0.0,-0.00026498261799741104,-4.5068941668631854e-05,-4.295749311531846e-05,-0.00015004780209443262,-0.00029485674928719666,0.0,0.00031403082598749745,0.00335113666760813,0.00021191558789521173,0.0005501283114813852,0.00013200815035288032
Alistipes sp. CAG:435,-0.0004153436721504224,-0.0001459227187684628,-0.0006628068177316225,-8.33058180810244e-05,0.00014579256360078285,-0.0016469577052232217,-0.0002175463345517703,-0.0004086462587958895,-0.0004508764782784398,0.00022594650436763499,0.00021497114703704093,-0.00010911411377747733,0.0002453876495682021,0.0,-2.709715180295131e-05,0.0001319346235476318
Alistipes sp. CAG:514,-8.739215550809878e-05,0.00015790281666270282,-9.528333126348149e-05,0.0,-4.108953668640562e-05,-0.00013168568062092747,-8.77883161749157e-05,-7.989644399565614e-05,-8.390578746833108e-05,-7.365649473399956e-05,0.0,-1.4633717317943852e-05,0.0,0.0,-1.79768045186273e-05,-8.669180039165412e-05
Alistipes sp. CAG:831,1.3147057626102735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes sp. CHKCI003,0.0,-4.877677588052182e-05,0.0,0.0,-3.897742304532673e-05,-1.6710484729446836e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010896391637057956,0.0,-1.5925645560724605e-05,-4.933739560353138e-05
Alistipes sp. Marseille-P2431,-8.840046527422298e-05,-0.00011808644201723753,-0.0001613086955472553,0.0001480041242390044,-0.00010908831432506448,0.0007587143954392825,0.0001340499047679403,8.804406051612748e-05,0.00020485182767524348,0.0,0.0006656931810985104,0.0001477362049269546,-7.367759774776519e-05,-0.00011062680092460654,-1.8853021515652016e-05,0.0003796687706150592
Alistipes sp. Zagget8,-0.00010377985254050505,-1.8721278827066164e-05,-0.0001234318160133639,0.0,0.0,0.00014013041949706984,4.583159080388603e-05,-1.7232530396025562e-05,-6.024141645693275e-05,9.005241610220644e-05,0.0004014117481394994,-9.82943707249787e-05,-5.835371843516346e-05,-0.00010622194864619103,-0.00011460251370169819,-6.609892229716524e-05
Alistipes timonensis,9.722204041702601e-05,-7.9811523738151e-05,-8.44001519632227e-05,-3.67761461475453e-05,0.0,-0.0001688195149026926,-9.888256914637955e-05,-0.00014608604102773467,-8.844149214012247e-05,-3.542702737388883e-05,-8.141930631180889e-05,-4.035431062078734e-05,-7.115657713979377e-05,0.0001876845806082531,0.00019347534727556407,-0.00013788690682001417
Allisonella histaminiformans,0.002334269885516556,0.000628905450710582,0.001170190260755128,-0.0005438199594112577,-0.001728447707834447,-0.00036325324268478645,-0.00036765751003659946,0.0004260599300609135,0.0005133875919824522,-0.0006494937217056701,0.00018742060858272322,0.00028570960529107094,-0.0026770007959809688,-0.0002748115910828502,-0.0017410214868760583,-0.0006801924032463207
Alloprevotella tannerae,2.840298643862171e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.601095426363075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063915597141866e-05
Anaerococcus obesiensis == vaginalis,0.00048274373583908324,-2.096187604343467e-05,-3.18285552372025e-05,0.0,0.0,-3.9168441350792395e-05,7.354665723559703e-05,-8.110300129578946e-05,8.432108707045864e-05,5.397260681583463e-05,0.0,0.0,0.0,0.0002938855740394566,-7.540356880052553e-05,-2.4976927912562772e-05
Anaerofilum sp. An201,0.0001246211207257625,2.212095084457614e-05,0.00019306827805927113,-4.450910248193383e-05,-0.0001158374424588781,0.00010420061575324627,-3.448522040732879e-05,0.00017559615256386766,-8.805500249520795e-05,-5.196026549054217e-05,0.0,0.0,-0.000114205719870514,-4.825012310190177e-05,2.3583461632017373e-05,0.0019074837799682002
Anaerofustis stercorihominis,6.7708515207524e-05,1.518337785700934e-05,-6.81376509457315e-05,0.0,0.0010440163294304981,0.0003067232445429715,-2.5351409427851026e-05,1.1906322193964978e-05,0.00012613192713842121,0.0,0.0,-2.336740728528932e-05,0.00013449848955306027,0.0025950907554362964,0.0,-5.754590103975817e-05
Anaeroglobus geminatus,0.00018590122501506095,0.00012358567108467096,3.0500021704302502e-05,0.00023482952464733074,0.0,-7.345953501913018e-05,0.00017862801460678547,0.0004098950899265728,1.8660268750254558e-05,0.0,0.0,0.0,0.0,0.0,0.00030615235806072204,6.449081226914878e-05
Anaeromassilibacillus sp. An172,5.399677771635521e-06,3.241856007530529e-05,0.0,4.780956880345651e-05,5.774678237727981e-05,0.0,0.0,2.8608980236711992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaeromassilibacillus sp. An250,0.0003957561000839623,0.0005134494572139593,0.0008393455653403078,-0.00019419459379638873,0.0030543085870631996,-0.00033868941764130943,0.00014178210656402236,-0.0016588377210201564,0.0007200923765788065,0.0012587177917212503,0.0001248193545096625,-0.0004158036015911816,0.0014019836480069967,0.0011538476123404344,0.009972399397236894,0.0009367854430666241
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,0.0007826037553987391,0.0006062794026089695,0.00030238976142801013,-0.0004451409436159731,0.004189096158165893,-0.0005728194484897345,-0.0005877957502576002,-0.00011601693902337602,-0.0009061365764986734,8.487488918868431e-05,-0.0009550985787430262,-0.0002624290100053606,0.002654640295695509,0.0007537933278732881,0.00029608167779889504,-9.584671682889235e-05
Anaerostipes caccae,0.0005010500436622273,0.000457177562628309,-0.0002356659571332793,0.000334635779937295,0.0002638009243213066,-0.0002552082004386538,0.0011346959160315924,-0.00014851286438875592,-0.0001833573074019529,0.0001849546300160668,-0.00036757319937619844,-0.00020751199365153967,0.00022020677677078517,0.0008858457230489291,0.0013514759591434695,-0.0007216825024068885
Anaerostipes hadrus 1,-0.000858729825969866,-0.0038444893843402692,0.014000917072652379,-0.004135539717734259,0.017298209125945808,0.0025416527825133234,0.00038085862849141384,0.0006173599205300061,0.0027753077119720498,0.0032253380814196474,-0.006851312941643589,0.003482881536536008,-0.0007688647287732818,0.004342573693063004,-0.0006236719119346822,0.0011607553288844525
Anaerostipes hadrus 2,-0.0007379010219030093,-0.0018331984147494159,0.000892598551454776,-0.0003155449418685279,0.0006468273291357855,-0.0007257026121287904,-0.0021446032271583196,-0.0006250339837728316,0.0004122417146847935,0.0004065881951642193,-0.0010604670430093297,-0.0033918147702666195,-0.00037274088544574454,-0.0005690716874263065,-0.000507084560106657,-0.0012395409052330776
Anaerotignum lactatifermentans,0.0003553933599357186,0.00044910926969995963,0.00028846465562585183,0.00015937630643320013,-6.483635135712078e-05,9.616375336419535e-05,0.0001166903504196121,0.0005340892644597825,5.2153584395566674e-05,0.0,2.4439490771996573e-05,0.0,0.0016847296282730881,0.0004940894645238388,0.00022008373333444104,0.00017668128155498935
Anaerotruncus colihominis,0.005357724817474152,0.0007203637793358325,0.0038941391314073906,0.00025841001704271906,0.0004744841991834063,0.0033710248161578703,0.0020550549312150163,-0.000254926233581252,0.000859537039865548,0.0021931191475493546,0.000665906833795977,-0.0023274489533387137,0.005955217377144519,0.0020799102603833415,0.002786108408462688,0.0020198967798279355
Anaerotruncus sp. CAG:390,-1.5504279394375846e-05,0.0,-1.543557601242716e-05,0.0,0.0,9.115427739116769e-06,0.0,0.0,0.0,0.0,0.0,-1.6323310038434287e-05,0.0,0.0,-1.7400080765888277e-05,0.0
Anaerotruncus sp. CAG:528,-4.10402929776027e-05,-0.000144388843119655,-8.548554540741248e-05,-7.232068102699611e-05,-0.00011217681525201805,-0.0001009556062738059,-4.821444156646702e-05,-0.000163948233172618,-1.544634604007228e-05,8.890322815613054e-05,0.00010411725537551436,-6.561407386558147e-05,4.025581194211034e-05,-0.00014165657799052476,-0.00021225600561952066,-1.8661047236919345e-05
Atopobium parvulum,0.00020345700894338706,0.0003946416475654811,0.0006955495684540475,0.0,0.0,-8.91900949331213e-06,-5.360664475487087e-05,4.695637157215984e-05,5.4798378515753456e-05,0.0,0.0,-5.086107901230162e-05,0.0,0.0,-0.00010397332777241953,-4.272566099172855e-05
Atopobium parvulum 2,0.007047300930332505,0.001783028238635423,0.0003365993222065034,-0.0002866106612859258,-5.7831852624538554e-05,-0.0004739396761849051,0.0003391713902860831,0.00012083212166548102,0.00010145589058799241,-0.00017420929107845874,-2.6226115319671184e-05,-6.384907043044676e-05,-0.00014130269216414902,-0.0006018057171816196,-9.633168448781557e-05,3.522453456904474e-05
Azospirillum sp. 51_20,-0.00016493060046923215,-0.0016582842977369706,-0.0002185885324052427,-0.0002697638584351467,-0.0008973608494282131,-0.00038574542960948113,-1.5167528237019055e-05,0.0001366038564189336,-0.00011881453757534558,0.00025268475688566285,0.00016161528157516007,0.0004449100093038572,-0.00039789230353259186,-0.0004066983542252621,0.00036904587778554973,0.003851811126856843
Azospirillum sp. CAG:239,0.00012756227681944682,0.00015050147664529746,-0.0003492881847002017,-0.00020041916842370564,-0.0006148149711078149,-0.0002904211592374455,-0.00039330192770699383,-0.00019058469157545675,-4.69665042002155e-05,-0.00012165817136236742,-5.308528366638398e-05,-0.00022184957177248833,0.0034553952291634616,-0.0003206965054243178,0.00130545612377754,0.002849099160833457
Bacillus sp. CAG:988,-1.0147158126061979e-05,0.0,0.0,0.0,0.0,0.0,0.0,-8.759949508648077e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroidales bacterium 52_46,-9.481742933214908e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroidales bacterium 55_9,9.874075986192865e-05,-8.968986472177026e-05,-1.969616193298448e-05,2.2713500402511837e-05,0.0,-0.0001454045585736042,-1.7283734008196075e-05,-3.596447018612326e-05,-2.0811520654207174e-05,-4.295278020565422e-05,7.305203423834526e-05,2.7701143532816205e-05,-4.016259737156515e-05,0.0,0.00018353966547503384,0.0006753249170368779
Bacteroidales bacterium H1 & K10,-6.128783257467791e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroidales bacterium H10,-1.9233626889956155e-05,0.0,-6.467452523779767e-06,0.0,0.0,7.990046848671317e-05,3.1948305693760886e-05,8.551560084384206e-06,-2.0879195006616054e-05,0.0,0.0,-2.5775060252460227e-05,4.306164021164021e-05,0.0,-2.4893096225415325e-05,0.0
Bacteroidales bacterium H2 / Prevotella sp. CAG:251,4.673992202120072e-05,4.245700990792197e-05,4.129306609561355e-05,0.0,0.0,0.00017905469959393275,6.9041904211063e-05,0.0,-6.708564190657986e-05,-9.46624646495117e-05,4.437344436083379e-05,0.0,0.0015285555067764112,0.0,-2.4473004171798673e-05,-8.812480806463249e-05
Bacteroidales bacterium H3,-4.229441807957203e-05,-7.270025727273944e-05,-0.00010699183920902133,0.0,0.0,-0.00022304670157979436,-5.841251343476555e-05,-5.843941967496427e-05,-9.914154005365978e-05,4.724689930739875e-05,-8.176595604309852e-05,-0.000591465960472466,5.25742919389978e-05,0.0,-6.913008307878712e-05,1.909170888526073e-05
Bacteroidales bacterium H4 & Prevotella sp. CAG:873,3.510067011865189e-05,0.0,0.0,-5.953969921938933e-05,0.0001419080553254905,-4.151925613107748e-05,0.0,-9.535270216489127e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.4191905351792913e-05,0.0
Bacteroidales bacterium H5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroidales bacterium H8 & H9 & Prevotella sp. CAG:279,-0.00026855243891816063,0.0019010476950179107,-0.00023793367268214503,-0.0005357269246671656,-0.0004860304489396799,-0.0011673336745422814,-0.0004861824984453878,-0.0004767368220815596,-0.00023853775980161692,-0.00012485709208826792,0.0106867045016676,-0.00022011613753501318,-0.0002658225075693292,-8.854797712679391e-05,-0.0002781703969827838,-0.00035832277971936893
Bacteroidales bacterium M1,9.938671775880754e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017680277687970184,0.0,0.0,0.0,0.0,0.0
Bacteroidales bacterium M7,-1.6565704551840353e-05,0.0,4.9545405272772285e-05,0.0,0.0,0.0,0.0,1.8586281445797746e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides acidifaciens,2.3554730885103983e-06,2.073276713941493e-05,3.566327133186363e-05,0.0,0.0,2.361631250500977e-05,0.0,0.0,0.0,0.0,0.000139872377837972,0.0,0.0,0.0,0.0,0.0
Bacteroides barnesiae,8.689494883585701e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1553334934870116e-05,0.0
Bacteroides caccae,0.0005421363812875467,0.0012312568510406514,0.0017136891543099227,-0.0004225113582469596,0.0005921581201445923,0.0011008783619335385,0.0005623084254576584,0.0012037389990641985,0.004360222333417899,-0.0031848463954169837,0.003931229079840741,0.0008325723010773944,0.002053242282989938,0.0005858525215747587,0.00706461147278177,0.004468206139887941
Bacteroides cellulosilyticus,0.0004493150912783727,0.000803029902729957,-0.0006665115835950932,-0.0002635168310793156,0.0007072798354424149,0.002272972573786687,0.0011682112222510133,0.0006157328854406679,-0.0004274609196104654,-0.002296769626400646,0.00014715059582094106,-0.00039636024470078986,0.0015985915014225653,-0.00041069804853630467,0.008098573324013428,0.0029585376440020086
Bacteroides clarus,0.00031960545671145,-0.0011041176831146971,0.0002840024640330483,0.0002454400025543081,0.0001946327617805114,-0.000359853934968236,-0.00030450643466239035,-0.00035528097408502843,0.00013435250978862878,-0.0010691609376154289,0.0003416030088686408,0.00023901493923124832,-0.00025522743203335393,-0.0014157524128319441,0.0004853262352748959,0.0003677967333144839
Bacteroides congonensis,-7.930700092234531e-05,0.00024085884298174622,-8.087750196601859e-05,0.0,0.0,0.00010951027559035318,-0.00010214287490087401,0.0005839426174270738,7.417790335078876e-05,3.594192127273409e-05,0.00010989943438660416,-3.6397136189307624e-05,-3.4920624728624705e-05,8.07168606594715e-05,3.779939785230262e-05,7.510271337276952e-05
Bacteroides coprocola,0.00028428011545687977,0.0006645872516264143,0.0028056093104426023,-0.00010796193315794795,-0.0004625716982411554,0.0003773074019715739,0.0005566970590024975,0.0011093231191739246,0.002101445727651087,-0.002480505398907006,0.012708226663977333,0.01778700973962021,-0.00034012523308501156,-0.0008245514790012087,-0.000635918948258299,-0.0004110028876721589
Bacteroides coprophilus,-9.293993098616687e-05,-0.000257268943650976,0.00010643501625937165,0.00043591550449417147,4.9248507288770446e-05,-0.00022209170809396706,0.00011870585362934704,-0.0002904618130342903,0.0003003603965118732,0.0,0.001400787598130208,0.0003948888529447616,0.0001400919773290925,0.00018660270111229811,-8.345937008490516e-05,-0.00013821607260052475
Bacteroides dorei,-0.0007116651955169661,0.0007027941145490558,-0.0014912662080331914,-0.0005486327181885751,0.0008438478975440011,0.001707062696914238,-0.0007488812833027598,0.0027679484200141295,-0.0019361229065472203,0.006396378296178506,-0.003433362414165581,0.00584372197168782,0.004299999898385517,-9.53836348589023e-05,-0.0006612807400552589,-0.0005938965301154754
Bacteroides eggerthii,0.00037532028851991234,-0.0006045112852811359,-0.0003384068524722519,-0.0009963052973317268,0.0006064323318516038,0.0007334639350627658,0.0001575190220326639,-0.0006121461858522404,0.00022810563308313248,0.0013302248640580702,0.0005007287733971961,-0.0007865176370640067,0.004014323545139987,0.0004497475567181339,0.0005380382400883484,0.0006850248833429568
Bacteroides faecichinchillae,-0.00012956577179857259,-6.16518687227078e-05,8.128757166489631e-05,0.00013294287372982817,0.0,0.0001896818322944609,0.00019401478211230496,-0.00015686296562073164,0.00023555046184499555,6.39353187631967e-05,0.0002237909325795987,6.63478221760932e-05,0.0,-0.0002733725061434237,0.0,-9.886340653941551e-05
Bacteroides faecis,0.0001792069941580025,-0.0003081562942836887,0.0017999918140150564,5.066810878429812e-05,-0.0002832872712544575,-0.0006736493311340312,-0.00022246116035000836,-0.00046672787757349836,-0.00016447603235838278,0.0005019114401835223,9.970308214351615e-05,-0.0007583311744306932,0.012108245265990827,0.0004217341217889961,-0.0007112237209273222,-0.000346181912271831
Bacteroides finegoldii,-0.0002949891805581587,-0.00027555902461757494,0.003208157786404869,0.00021296880992954052,-0.00027401055658352893,-0.00016663570944678674,0.00027806980222707994,-0.0002669185562323803,0.0007525657103918557,-0.00031488001415981353,0.002702951707569221,0.0008559310909347617,0.0005131444720501765,0.00037669323814503683,0.00035862840438849626,0.000543389145024753
Bacteroides fluxus,5.126534253654488e-06,0.0,0.0,0.0,0.0,-7.726754698570622e-06,0.0,1.2171295694391608e-05,0.0,0.0,8.522462520575024e-05,0.0,0.0,0.0,0.0,0.00012812040439202566
Bacteroides fragilis 1,0.0004674949096179382,-0.0009420832915044721,-0.0007501493170720656,-0.00041676629834275783,-0.00019558098229134586,0.0006477598037109352,0.00213617589221088,0.00296228684322008,0.00041410312565329856,0.0008570944957478682,-0.00047099313590349826,-0.0008871912598577992,0.001987494768226876,-0.0005438932517976542,0.0004318294869545753,0.0007042969206612419
Bacteroides fragilis 2,-0.0002603744527543777,7.065415434296516e-05,7.297591601389185e-05,0.003314328281909111,-5.0038569461270034e-05,0.00019683048575254683,0.0031710270144634047,0.0016949411313674052,0.00074130545754339,-0.0005780966322888101,0.0014791989311703242,0.0017723196944028578,-0.00013344477852121132,-9.221037970121546e-05,-8.355394998734272e-05,-8.466757058350276e-05
Bacteroides gallinarum,0.0,-1.9430936653734898e-05,-1.202592973374135e-05,0.0,0.0,-1.2328435618291515e-05,-7.925724561509347e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6232762320987818e-05,0.0
