"","size","NA_pc","BHit_pc","BHit","BH_ali","BH_id","NA_pc_","Taxo_pc","Taxo","Taxo_ali","Taxo_id","Taxo_level","species","genus","family","order","class","phylum","superkingdom","size_annot","gp"
"msp_0011",10051,3.5,64.4,"Bacteroides thetaiotaomicron KPPR-3",96.5,97.5,3.6,89.9,"Bacteroides thetaiotaomicron",97.9,98.7,"species","Bacteroides thetaiotaomicron","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",6826,"msp_0011"
"msp_0012",10104,3.8,51.6,"Parabacteroides distasonis FDAARGOS_344",95.8,97.9,3.8,90.1,"Parabacteroides distasonis",97.7,98.9,"species","Parabacteroides distasonis","Parabacteroides","Tannerellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",9203,"msp_0012"
"msp_0013",10863,13.7,58.5,"uncultured Ruminococcus sp. 2789STDY5882206",92.3,96.5,13.8,78,"Ruminococcus bicirculans",94.5,97.1,"species","Ruminococcus bicirculans","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",8710,"msp_0013"
"msp_0014",8128,0.9,81.6,"Fusicatenibacter sp. 2789STDY5834925",98.6,99.1,0.9,97.7,"Eisenbergiella tayi",99.5,99.5,"species","Eisenbergiella tayi","Eisenbergiella","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",7587,"msp_0014"
"msp_0015",10075,17.7,55.7,"Roseburia faecis M72",92.9,97.3,17.7,64.8,"Roseburia faecis",93.6,97.8,"species","Roseburia faecis","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",8914,"msp_0015"
"msp_0016",10715,8.4,64.6,"Bacteroides plebeius DSM 17135",95.3,94.7,8.5,74.6,"Bacteroides plebeius",95.3,96.3,"genus","Bacteroides plebeius","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",8190,"msp_0016"
"msp_0017",9197,17.5,52.6,"Roseburia intestinalis 43_16",93.8,98,17.5,70.5,"Roseburia intestinalis",95.2,98.2,"species","Roseburia intestinalis","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4150,"msp_0017"
"msp_0018",8098,5.2,77.6,"Clostridium sp. KLE 1755",97,98.5,5.2,84.7,"Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27",98.1,98.8,"species","Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",7733,"msp_0018"
"msp_0019",8052,2.7,82,"Bacteroides sp. HMSC068A09",97.9,99.1,2.7,89.6,"Bacteroides faecis",98.7,99.5,"species","Bacteroides faecis","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3641,"msp_0019"
"msp_0020",7174,0.9,73.1,"[Clostridium] clostridioforme ATCC 25537",95.3,99.1,0.9,96.3,"Clostridium clostridioforme 1",99.1,99.7,"species","Clostridium clostridioforme 1","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4934,"msp_0020"
"msp_0021",6739,3,49.8,"Bacteroides xylanisolvens NLAE-zl-C202",94.8,97,3,89.9,"Bacteroides xylanisolvens",97.3,98.5,"species","Bacteroides xylanisolvens","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1400,"msp_0021"
"msp_0022",8721,6.1,58.5,"uncultured Bacteroides sp. 2789STDY5608861",94.8,97.3,6.1,79.4,"Bacteroides finegoldii",96.9,98.2,"species","Bacteroides finegoldii","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5511,"msp_0022"
"msp_0023",8289,5.1,65.8,"Bacteroides sp. 43_46",95.8,98.8,5.1,81.9,"Bacteroides caccae",97.4,99,"species","Bacteroides caccae","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5666,"msp_0023"
"msp_0024",7893,3.4,76.1,"Hungatella hathewayi 2789STDY5608850",96.7,98.1,3.4,90.7,"Hungatella hathewayi 2",98.5,99,"species","Hungatella hathewayi 2","Hungatella","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",6169,"msp_0024"
"msp_0025",7677,5.8,69.8,"Akkermansia muciniphila Pig.fasta",95.9,96.6,5.8,90.1,"Akkermansia muciniphila",96.7,98.2,"species","Akkermansia muciniphila","Akkermansia","Akkermansiaceae","Verrucomicrobiales","Verrucomicrobiae","Verrucomicrobia","Bacteria",6238,"msp_0025"
"msp_0026",7703,8.2,69.4,"Paraprevotella clara CAG:116",94.7,97.7,8.4,77.1,"Paraprevotella clara",95.9,98.1,"species","Paraprevotella clara","Paraprevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5052,"msp_0026"
"msp_0027",7260,5.8,73.4,"Parabacteroides sp. merdae-related_45_40",95.1,98.4,5.8,83.6,"Parabacteroides merdae",97.7,99.2,"species","Parabacteroides merdae","Parabacteroides","Tannerellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3939,"msp_0027"
"msp_0028",7051,7,73.8,"Parabacteroides goldsteinii 910340",95.6,97.6,7,83.7,"Parabacteroides goldsteinii",97.1,98.2,"species","Parabacteroides goldsteinii","Parabacteroides","Tannerellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5714,"msp_0028"
"msp_0029",8863,17.9,53.8,"[Eubacterium] eligens 37_24",95.1,95.7,17.9,68.1,"Eubacterium eligens",95.4,96.6,"species","Eubacterium eligens","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",8072,"msp_0029"
"msp_0030",8172,0,14.8,"Klebsiella pneumoniae MNCRE73",99.6,99.9,0,99.8,"Klebsiella pneumoniae",99.6,99.8,"species","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bacteria",6597,"msp_0030"
"msp_0031",7950,4.4,67.9,"Bacteroides stercoris DSM 19555",94.6,98.1,4.5,81.6,"Bacteroides stercoris",96.1,98.6,"species","Bacteroides stercoris","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5104,"msp_0031"
"msp_0032",7353,4.7,74.8,"Alistipes sp. CAG:29",94.3,97.1,4.8,89.6,"Alistipes onderdonkii",97.6,98.6,"species","Alistipes onderdonkii","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5663,"msp_0032"
"msp_0033",5959,1.8,77.3,"Bacteroides sp. UW",98.3,98.7,1.8,93.5,"Bacteroides fragilis 2",99,99.4,"species","Bacteroides fragilis 2","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4011,"msp_0033"
"msp_0034",7037,20.3,65.1,"Faecalibacterium sp. CAG:74",90.5,97,20.3,65.1,"Faecalibacterium sp. CAG:74",90.5,97,"species","Faecalibacterium sp. CAG:74","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",6410,"msp_0034"
"msp_0035",7488,5.6,55.9,"Bacteroidia bacterium UC5.1-2G11",95.4,98.3,5.7,83.6,"Bacteroides dorei",96.2,98.6,"species","Bacteroides dorei","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2671,"msp_0035"
"msp_0036",6665,8.4,71.4,"Bacteroides eggerthii 1_2_48FAA",96.1,98.6,8.6,79.2,"Bacteroides eggerthii",97.1,98.9,"species","Bacteroides eggerthii","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4519,"msp_0036"
"msp_0037",6603,4.6,80.6,"Bacteroides salyersiae 2789STDY5608871",98.1,99,4.6,87,"Bacteroides salyersiae",98.6,99.4,"species","Bacteroides salyersiae","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5699,"msp_0037"
"msp_0038",6306,58,21.2,"Victivallales bacterium Lenti_03",64.4,79.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",6220,"msp_0038"
"msp_0039",7258,23,63,"Clostridium sp. CAG:127",94.4,96.8,23,63,"Clostridium sp. CAG:127",94.4,96.8,"species","Clostridium sp. CAG:127","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",6453,"msp_0039"
"msp_0040",6976,8.7,76.2,"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223",95.5,98.8,8.8,78.9,"Bacteroides massiliensis",96.1,99.1,"species","Bacteroides massiliensis","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3790,"msp_0040"
"msp_0041",8859,17.6,51.6,"Prevotella copri CAG:164",91.2,96.6,17.7,58,"Prevotella copri 1",91.4,96.6,"species","Prevotella copri 1","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4979,"msp_0041"
"msp_0042",6638,9.3,68.6,"Coprococcus eutactus 2789STDY5608843",95.3,97.6,9.3,81.7,"Coprococcus eutactus 2",96.1,98.3,"species","Coprococcus eutactus 2","Coprococcus","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",3390,"msp_0042"
"msp_0043",6788,7.9,69.6,"Bacteroides coprocola DSM 17136",93.7,98.4,8,75.5,"Bacteroides coprocola",95,98.8,"species","Bacteroides coprocola","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4237,"msp_0043"
"msp_0044",5368,1,85.6,"Hungatella hathewayi DSM 13479",93.6,99.3,1,96.7,"Hungatella hathewayi 1",99.4,99.6,"species","Hungatella hathewayi 1","Hungatella","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4863,"msp_0044"
"msp_0045",7688,15.6,61.6,"uncultured Ruminococcus sp. 2789STDY5834972",93,95.7,15.6,72.6,"Ruminococcus bromii 2",94.2,96.3,"species","Ruminococcus bromii 2","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",6390,"msp_0045"
"msp_0046",6568,2.6,63.7,"Bacteroides uniformis Bacteroides uniformis CECT 77711",96.5,98,20.5,91.7,"Bacteroides uniformis",97.3,98.9,"species","Bacteroides uniformis","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5116,"msp_0046"
"msp_0047",6136,29.2,59.3,"Eubacterium sp. CAG:115",93.7,97.9,29.2,59.3,"Eubacterium sp. CAG:115",93.7,97.9,"species","Eubacterium sp. CAG:115","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4363,"msp_0047"
"msp_0048",6717,13.2,71,"Eubacterium sp. CAG:38",93.9,97.6,13.2,71,"Eubacterium sp. CAG:38",93.9,97.6,"species","Eubacterium sp. CAG:38","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",6085,"msp_0048"
"msp_0049",5507,9.7,34.3,"[Clostridium] clostridioforme AGR2157",92.1,89.4,9.7,72.1,"Clostridium bolteae",94.3,87.9,"genus","unclassified Lachnoclostridium","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4402,"msp_0049"
"msp_0050",6485,8.5,74,"uncultured Eubacterium sp. 2789STDY5834883",94.6,98.2,8.5,84.9,"Eubacterium hallii",96.7,98.8,"species","Eubacterium hallii","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4213,"msp_0050"
"msp_0051",5221,40.8,9.6,"Prevotella sp. CAG:279",70.8,76.9,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",5221,"msp_0051"
"msp_0052",4783,6.2,80.2,"Blautia sp. CAG:257",95.1,97.4,6.2,80.2,"Blautia sp. CAG:257",95.1,97.4,"species","Blautia sp. CAG:257","Blautia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4101,"msp_0052"
"msp_0053",6237,9.8,66.6,"[Eubacterium] siraeum DSM 15702",89.9,95.7,9.8,84.4,"Eubacterium siraeum",94.4,97,"genus","Eubacterium siraeum","Ruminiclostridium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",3076,"msp_0053"
"msp_0054",5559,4.9,74.3,"Bacteroides nordii CL02T12C05",97.6,98.2,4.9,86.3,"Bacteroides nordii",98.1,98.8,"species","Bacteroides nordii","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4800,"msp_0054"
"msp_0055",5807,15.9,57.8,"uncultured Clostridium sp. 2789STDY5608883",92.8,96.9,15.9,65.7,"Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883",94.1,97.4,"species","Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2428,"msp_0055"
"msp_0056",5318,4.5,76.9,"Clostridiales bacterium 1_7_47FAA",96,91.3,4.5,81.8,"Clostridiales bacterium 1_7_47FAA  & VE202-28",96.2,91.3,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",4598,"msp_0056"
"msp_0057",5936,12,71,"uncultured Roseburia sp. 2789STDY5608886",93.8,97.5,12,74.6,"Roseburia sp. CAG:45 & sp. 2789STDY5608886",94.7,97.8,"species","Roseburia sp. CAG:45 & sp. 2789STDY5608886","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",5094,"msp_0057"
"msp_0058",5308,2.6,80.9,"uncultured Ruminococcus sp. 2789STDY5834888",96.7,98,2.6,92.3,"Ruminococcus gnavus",98.2,99,"species","Ruminococcus gnavus","Blautia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",5020,"msp_0058"
"msp_0059",5673,6.5,77.2,"Barnesiella intestinihominis YIT 11860",95.6,98,6.5,83.3,"Barnesiella intestinihominis",96.4,98.6,"species","Barnesiella intestinihominis","Barnesiella","Barnesiellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4992,"msp_0059"
"msp_0060",5405,13.8,67.2,"Firmicutes bacterium CAG:95",94.2,97.7,13.8,67.2,"Firmicutes bacterium CAG:95",94.2,97.7,"species","Firmicutes bacterium CAG:95","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",4961,"msp_0060"
"msp_0061",4225,0.7,81.7,"Bacteroides sp. CAG:754",98.3,99.2,0.7,94.6,"Bacteroides congonensis",98.9,99.4,"species","Bacteroides congonensis","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2953,"msp_0061"
"msp_0062",5119,4.1,75.8,"Odoribacter splanchnicus An45",97.5,99,4.1,90.2,"Odoribacter splanchnicus",98.3,99.4,"species","Odoribacter splanchnicus","Odoribacter","Odoribacteraceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4722,"msp_0062"
"msp_0063",5816,5.6,67.8,"Bacteroides clarus CAG:160",95.8,98.5,5.7,83.4,"Bacteroides clarus",97.7,98.8,"species","Bacteroides clarus","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3738,"msp_0063"
"msp_0064",5522,22.2,57.4,"Alistipes sp. CAG:435",91.6,97.7,22.2,57.4,"Alistipes sp. CAG:435",91.6,97.7,"species","Alistipes sp. CAG:435","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1983,"msp_0064"
"msp_0065",5068,3.7,84.3,"uncultured Blautia sp. 2789STDY5608880",95.1,98.4,3.7,89.7,"Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880",96.5,98.7,"species","Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880","Blautia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1790,"msp_0065"
"msp_0066",5431,13.2,72.1,"Clostridium sp. AT4 AT5",96.9,98.4,13.2,72.1,"Clostridium sp. AT4",96.9,98.4,"species","Clostridium sp. AT4","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4578,"msp_0066"
"msp_0067",5517,9,76.4,"Prevotella sp. CAG:255",95.4,98,9,80.9,"Prevotella sp. 109 & CAG:255",96.8,98.2,"species","Prevotella sp. 109 & CAG:255","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3352,"msp_0067"
"msp_0068",6766,9.5,61.4,"Eubacterium sp. 41_20",94.2,97.2,9.5,80,"Eubacterium rectale",94.5,97.7,"species","Eubacterium rectale","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",6127,"msp_0068"
"msp_0069",6226,2,84.4,"Bacteroides vulgatus NLAE-zl-G202",96.5,98.6,2.1,93.1,"Bacteroides vulgatus",97.1,98.8,"species","Bacteroides vulgatus","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4168,"msp_0069"
"msp_0070",5004,7.9,82.9,"Akkermansia sp. CAG:344",95.5,97.9,7.9,82.9,"Akkermansia sp. CAG:344",95.5,97.9,"species","Akkermansia sp. CAG:344","Akkermansia","Akkermansiaceae","Verrucomicrobiales","Verrucomicrobiae","Verrucomicrobia","Bacteria",3341,"msp_0070"
"msp_0071",5134,11,73,"Roseburia hominis 2789STDY5608834",97.3,97.7,11,77.4,"Roseburia hominis",97.5,98.1,"species","Roseburia hominis","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4855,"msp_0071"
"msp_0072",5650,9,57,"Roseburia inulinivorans CAG:15_42_14",94.9,97.3,9,83.9,"Roseburia inulinivorans",97.8,98.5,"species","Roseburia inulinivorans","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",5273,"msp_0072"
"msp_0073",5735,57.8,5.1,"Victivallales bacterium Lenti_02",34.7,80.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",5448,"msp_0073"
"msp_0074",5488,16.6,67.4,"Roseburia sp. CAG:100",93.9,97.9,16.6,67.4,"Roseburia sp. CAG:100",93.9,97.9,"species","Roseburia sp. CAG:100","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4542,"msp_0074"
"msp_0075",6354,13.7,69.7,"uncultured Clostridium sp. 2789STDY5834873",95.5,97.2,13.7,71.2,"Clostridium sp. CAG:91 & sp. 2789STDY5834873",95.6,97.6,"species","Clostridium sp. CAG:91 & sp. 2789STDY5834873","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",4725,"msp_0075"
"msp_0076",5667,1.3,92.3,"Blautia obeum 2789STDY5834861",95.9,97.8,1.3,96.5,"Blautia wexlerae",98.4,98.8,"species","Blautia wexlerae","Blautia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4065,"msp_0076"
"msp_0077",6341,31.9,40.5,"Firmicutes bacterium CAG:882",79.4,82.2,31.9,66.9,"Firmicutes",68.5,81.7,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",4761,"msp_0077"
"msp_0078",4967,12.1,72.2,"Prevotella sp. CAG:732",92.9,98.2,12.1,72.2,"Prevotella sp. CAG:732",92.9,98.2,"species","Prevotella sp. CAG:732","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3043,"msp_0078"
"msp_0079",5001,5.1,88.5,"Clostridium sp. CAG:7",96.8,99.1,5.1,88.5,"Clostridium sp. CAG:7",96.8,99.1,"species","Clostridium sp. CAG:7","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",3848,"msp_0079"
"msp_0080",3677,6.7,81.2,"Prevotellamassilia timonensis Marseille-P2831",96.2,97.4,6.7,86.2,"Prevotellamassilia timonensis",97.2,97.8,"species","Prevotellamassilia timonensis","Prevotellamassilia","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2811,"msp_0080"
"msp_0081",6214,38.1,3.4,"Prevotella sp. CAG:5226",60.9,88.4,38.1,51.2,"Prevotella",61.6,80.5,"genus","unclassified Prevotella","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5081,"msp_0081"
"msp_0082c",4432,0,94.4,"Providencia rettgeri DSM 1131",99.8,99.6,0,96,"Providencia rettgeri 2",99.9,99.6,"species","Providencia rettgeri 2","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bacteria",4432,"msp_0082c"
"msp_0083",4775,4.7,79.7,"Parabacteroides johnsonii An42",95.7,98.7,4.7,85.1,"Parabacteroides johnsonii",96.9,99,"species","Parabacteroides johnsonii","Parabacteroides","Tannerellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2058,"msp_0083"
"msp_0084",6787,15.9,65.7,"Prevotella sp. CAG:386",90.8,97.2,16,65.7,"Prevotella sp. CAG:386",90.8,97.2,"species","Prevotella sp. CAG:386","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3122,"msp_0084"
"msp_0085",4794,4.6,67.3,"Lachnospiraceae bacterium NLAE-zl-G231",93.7,83.5,4.6,80.4,"Eisenbergiella tayi",93.6,83.6,"genus","unclassified Eisenbergiella","Eisenbergiella","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",4661,"msp_0085"
"msp_0086",4370,1.7,85.7,"uncultured Clostridium sp. 2789STDY5834915",98.1,99.4,1.7,95.4,"Clostridium symbiosum",99.4,99.7,"species","Clostridium symbiosum","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",3783,"msp_0086"
"msp_0087",5149,14.5,67.8,"Lactobacillus rogosae ATCC 27753",96.4,98.5,14.5,75.4,"Lactobacillus rogosae",96.5,98.7,"species","Lactobacillus rogosae","Lactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",3698,"msp_0087"
"msp_0088",5591,11.5,61.8,"Butyricimonas synergistica DSM 23225",91.9,83.7,11.5,61.8,"Butyricimonas synergistica 1",91.9,83.7,"genus","unclassified Butyricimonas","Butyricimonas","Odoribacteraceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5346,"msp_0088"
"msp_0089",5239,7.6,77,"Alistipes finegoldii DSM 17242",95.4,97.7,7.6,80.3,"Alistipes finegoldii",96.5,98.3,"species","Alistipes finegoldii","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4251,"msp_0089"
"msp_0090",4796,4.5,84.3,"Alistipes putredinis DSM 17216",96.7,98.4,4.6,90.5,"Alistipes putredinis",97.2,98.9,"species","Alistipes putredinis","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",4077,"msp_0090"
"msp_0091",5525,15.2,66.6,"Prevotella sp. CAG:604",91.9,97.1,15.3,66.6,"Prevotella sp. CAG:604",91.9,97.1,"species","Prevotella sp. CAG:604","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3120,"msp_0091"
"msp_0092",4778,6.2,84.7,"Sutterella wadsworthensis 3_1_45B",96.5,97.8,6.2,91.6,"Sutterella wadsworthensis 1",97.5,98.7,"species","Sutterella wadsworthensis 1","Sutterella","Sutterellaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria",4488,"msp_0092"
"msp_0093",5227,13.1,70,"Clostridium sp. CAG:62",93.9,97.6,13.1,70,"Clostridium sp. CAG:62",93.9,97.6,"species","Clostridium sp. CAG:62","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",4731,"msp_0093"
